epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,87.5222,1.19021,1.33855,0.00503,0.76077,0.63128,0.7226,0.49245,1.21256,1.03382,0.00631,0.000159952,0.000159952,0.000159952
82,88.621,1.20545,1.2826,0.00457,0.75159,0.63928,0.72229,0.49106,1.18844,1.04772,0.00615,0.000152339,0.000152339,0.000152339
83,89.6897,1.23719,1.36423,0.00483,0.74433,0.65115,0.72135,0.4923,1.19558,1.04815,0.0061,0.000144726,0.000144726,0.000144726
84,90.8469,1.19807,1.3003,0.00471,0.71922,0.6775,0.72503,0.49665,1.18751,1.05049,0.00609,0.000137113,0.000137113,0.000137113
85,91.9231,1.19388,1.33661,0.00496,0.74064,0.64381,0.72782,0.49894,1.17299,1.04766,0.006,0.0001295,0.0001295,0.0001295
86,92.9938,1.20048,1.30715,0.00463,0.73659,0.64935,0.72922,0.50098,1.17559,1.02911,0.00604,0.000121887,0.000121887,0.000121887
87,94.0791,1.20857,1.30708,0.0049,0.69507,0.69064,0.72758,0.50072,1.18114,1.02145,0.00611,0.000114273,0.000114273,0.000114273
88,95.1007,1.19701,1.32983,0.00479,0.69026,0.69963,0.7278,0.49786,1.18139,1.02896,0.00611,0.00010666,0.00010666,0.00010666
89,96.1938,1.1838,1.28776,0.0046,0.72199,0.67579,0.72795,0.49746,1.18244,1.03662,0.00617,9.90472e-05,9.90472e-05,9.90472e-05
90,97.2058,1.21217,1.28442,0.0047,0.71361,0.68105,0.72718,0.49773,1.19637,1.03665,0.00624,9.14341e-05,9.14341e-05,9.14341e-05
91,114.652,1.13635,1.35131,0.00575,0.69998,0.69242,0.72767,0.49622,1.20821,1.02729,0.00622,8.3821e-05,8.3821e-05,8.3821e-05
92,115.638,1.1146,1.31866,0.00523,0.70228,0.69697,0.73017,0.49717,1.20708,1.02201,0.00623,7.62079e-05,7.62079e-05,7.62079e-05
93,116.596,1.10626,1.29196,0.00531,0.71319,0.6863,0.73035,0.49971,1.21358,1.02077,0.00628,6.85948e-05,6.85948e-05,6.85948e-05
94,117.626,1.09508,1.31695,0.00534,0.70501,0.68835,0.7312,0.49865,1.22759,1.01307,0.00641,6.09817e-05,6.09817e-05,6.09817e-05
95,118.584,1.14132,1.30428,0.00532,0.7052,0.69333,0.73109,0.49961,1.22171,1.00976,0.00635,5.33686e-05,5.33686e-05,5.33686e-05
96,119.541,1.11663,1.27543,0.00521,0.70301,0.69726,0.7325,0.50226,1.21544,1.01802,0.00624,4.57555e-05,4.57555e-05,4.57555e-05
97,120.505,1.10388,1.37212,0.00586,0.70385,0.69631,0.73387,0.50255,1.20919,1.02384,0.00611,3.81424e-05,3.81424e-05,3.81424e-05
98,121.471,1.12141,1.29593,0.00513,0.70087,0.69768,0.73363,0.50118,1.21598,1.00827,0.00617,3.05293e-05,3.05293e-05,3.05293e-05
99,122.504,1.06527,1.24578,0.00511,0.70072,0.69727,0.73537,0.50152,1.21533,1.00702,0.00621,2.29162e-05,2.29162e-05,2.29162e-05
100,123.472,1.04876,1.22292,0.00493,0.70036,0.70405,0.73496,0.49976,1.22138,0.99994,0.00624,1.53031e-05,1.53031e-05,1.53031e-05
